"sentence","verb","frame","voice","polarity","conditional","Mean","low.ci","high.ci","SD","C"
"A particular person accepted to have a particular thing.","accept","to_VPstative","active","positive","False",0.85,0.15,0.15,0.241522945769824,10
"A particular person acknowledged to do a particular thing.","acknowledge","to_VPeventive","active","positive","False",0.8,0.15,0.15,0.258198889747161,10
"A particular person admitted to have a particular thing.","admit","to_VPstative","active","positive","False",1,0,0,0,10
"A particular person advertised to do a particular thing.","advertise","to_VPeventive","active","positive","False",0.6,0.2,0.2,0.316227766016838,10
"A particular person advertised to have a particular thing.","advertise","to_VPstative","active","positive","False",0.666666666666667,0.166666666666667,0.166666666666667,0.25,9
"A particular person advised to do a particular thing.","advise","to_VPeventive","active","positive","False",0.4,0.15,0.1,0.210818510677892,10
"A particular person advocated to do a particular thing.","advocate","to_VPeventive","active","positive","False",0.55,0.05,0.1,0.158113883008419,10
"A particular person affirmed to do a particular thing.","affirm","to_VPeventive","active","positive","False",0.833333333333333,0.166666666666667,0.111111111111111,0.25,9
"A particular person affirmed to have a particular thing.","affirm","to_VPstative","active","positive","False",0.85,0.15,0.15,0.241522945769824,10
"A particular person agonized to do a particular thing.","agonize","to_VPeventive","active","positive","False",0.55,0.15,0.15,0.283823106098773,10
"A particular person agreed to do a particular thing.","agree","to_VPeventive","active","positive","False",0.75,0.15,0.15,0.263523138347365,10
"A particular person agreed to have a particular thing.","agree","to_VPstative","active","positive","False",0.8,0.15,0.15,0.258198889747161,10
"A particular person aimed to do a particular thing.","aim","to_VPeventive","active","positive","False",0.55,0.05,0.1,0.158113883008419,10
"A particular person aimed to have a particular thing.","aim","to_VPstative","active","positive","False",0.55,0.15,0.15,0.283823106098773,10
"A particular person alleged to do a particular thing.","allege","to_VPeventive","active","positive","False",0.55,0.05,0.1,0.158113883008419,10
"A particular person alleged to have a particular thing.","allege","to_VPstative","active","positive","False",0.5,0,0,0,10
"A particular person announced to have a particular thing.","announce","to_VPstative","active","positive","False",0.75,0.2,0.2,0.353553390593274,10
"A particular person answered to do a particular thing.","answer","to_VPeventive","active","positive","False",0.611111111111111,0.111111111111111,0.166666666666667,0.220479275922049,9
"A particular person anticipated to do a particular thing.","anticipate","to_VPeventive","active","positive","False",0.45,0.15,0.15,0.283823106098773,10
"A particular person appealed to do a particular thing.","appeal","to_VPeventive","active","positive","False",0.65,0.15,0.15,0.241522945769824,10
"A particular person appeared to do a particular thing.","appear","to_VPeventive","active","positive","False",0.6,0.1,0.15,0.210818510677892,10
"A particular person appeared to have a particular thing.","appear","to_VPstative","active","positive","False",0.65,0.15,0.15,0.241522945769824,10
"A particular person applied to do a particular thing.","apply","to_VPeventive","active","positive","False",0.5,0.15,0.15,0.235702260395516,10
"A particular person applied to have a particular thing.","apply","to_VPstative","active","positive","False",0.4,0.15,0.1,0.210818510677892,10
"A particular person approved to have a particular thing.","approve","to_VPstative","active","positive","False",0.65,0.15,0.15,0.241522945769824,10
"A particular person argued to do a particular thing.","argue","to_VPeventive","active","positive","False",0.55,0.15,0.15,0.283823106098773,10
"A particular person argued to have a particular thing.","argue","to_VPstative","active","positive","False",0.55,0.15,0.15,0.283823106098773,10
"A particular person arranged to do a particular thing.","arrange","to_VPeventive","active","positive","False",0.65,0.15,0.15,0.241522945769824,10
"A particular person arranged to have a particular thing.","arrange","to_VPstative","active","positive","False",0.85,0.15,0.15,0.241522945769824,10
"A particular person ascertained to have a particular thing.","ascertain","to_VPstative","active","positive","False",0.7,0.15,0.15,0.258198889747161,10
"A particular person asked to do a particular thing.","ask","to_VPeventive","active","positive","False",0.6,0.1,0.15,0.210818510677892,10
